,N=5,N=10,N=30,N=100
?=0.01,0.8988,0.9258,0.9354,0.9408
?=0.1,0.8958,0.9228,0.9446,0.9472
?=1,0.898,0.9244,0.9396,0.946
?=10,0.8966,0.9158,0.9452,0.9432
